,"Nov 1, 14","Nov 2, 14","Nov 3, 14","Nov 4, 14","Nov 5, 14","Nov 6, 14","Nov 7, 14","Nov 8, 14","Nov 9, 14","Nov 10, 14","Nov 11, 14","Nov 12, 14","Nov 13, 14","Nov 14, 14","Nov 15, 14","Nov 16, 14","Nov 17, 14","Nov 18, 14","Nov 19, 14","Nov 20, 14","Nov 21, 14","Nov 22, 14","Nov 23, 14","Nov 24, 14","Nov 25, 14","Nov 26, 14","Nov 27, 14","Nov 28, 14","Nov 29, 14","Nov 30, 14","Dec 1, 14","Dec 2, 14","Dec 3, 14","Dec 4, 14","Dec 5, 14","Dec 6, 14","Dec 7, 14","Dec 8, 14","Dec 9, 14","Dec 10, 14","Dec 11, 14","Dec 12, 14","Dec 13, 14","Dec 14, 14","Dec 15, 14","Dec 16, 14","Dec 17, 14","Dec 18, 14","Dec 19, 14","Dec 20, 14","Dec 21, 14","Dec 22, 14","Dec 23, 14","Dec 24, 14","Dec 25, 14","Dec 26, 14","Dec 27, 14","Dec 28, 14","Dec 29, 14","Dec 30, 14","Dec 31, 14","Jan 1, 15","Jan 2, 15","Jan 3, 15","Jan 4, 15","Jan 5, 15","Jan 6, 15","Jan 7, 15","Jan 8, 15","Jan 9, 15","Jan 10, 15","Jan 11, 15","Jan 12, 15","Jan 13, 15","Jan 14, 15","Jan 15, 15","Jan 16, 15","Jan 17, 15","Jan 18, 15","Jan 19, 15","Jan 20, 15","Jan 21, 15","Jan 22, 15","Jan 23, 15","Jan 24, 15","Jan 25, 15","Jan 26, 15","Jan 27, 15","Jan 28, 15","Jan 29, 15","Jan 30, 15","Jan 31, 15","Feb 1, 15","Feb 2, 15","Feb 3, 15","Feb 4, 15","Feb 5, 15","Feb 6, 15","Feb 7, 15","Feb 8, 15","Feb 9, 15","Feb 10, 15","Feb 11, 15","Feb 12, 15","Feb 13, 15","Feb 14, 15","Feb 15, 15","Feb 16, 15","Feb 17, 15","Feb 18, 15","Feb 19, 15","Feb 20, 15","Feb 21, 15","Feb 22, 15","Feb 23, 15","Feb 24, 15","Feb 25, 15","Feb 26, 15","Feb 27, 15","Feb 28, 15"
Deepdish Deal,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,1.00,0.00,3.00,5.00,4.00,1.00,1.00,2.00,1.00,3.00,1.00
Extra Large Pizza,2.00,1.00,0.00,0.00,3.00,0.00,1.00,1.00,2.00,1.00,1.00,0.00,2.00,3.00,0.00,4.00,0.00,1.00,0.00,6.00,5.00,0.00,0.00,0.00,1.00,1.00,0.00,5.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,5.00,1.00,0.00,0.00,2.00,0.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,7.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,3.00,0.00,1.00,1.00,2.00,0.00,1.00,0.00,2.00,7.00,2.00,4.00,0.00,2.00,1.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,5.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00,1.00,2.00,1.00,1.00,0.00,1.00,0.00,3.00,1.00,1.00,0.00,1.00,4.00,0.00,6.00,5.00,0.00,0.00,0.00,1.00,2.00,1.00,2.00
Family Deal,1.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,3.00,3.00,1.00,2.00,2.00,0.00,0.00,2.00,1.00,2.00,0.00,1.00,1.00,3.00,1.00,4.00
Game Night Deal,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,2.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00
Garlic Bread,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00
Garlic Bread with Cheese,5.00,1.00,1.00,1.00,1.00,0.00,6.00,1.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00,1.00,0.00,1.00,5.00,2.00,3.00,0.00,0.00,0.00,1.00,5.00,5.00,3.00,0.00,0.00,0.00,2.00,4.00,2.00,2.00,0.00,1.00,0.00,3.00,5.00,3.00,1.00,0.00,1.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,2.00,6.00,2.00,1.00,0.00,0.00,0.00,3.00,0.00,4.00,0.00,0.00,2.00,2.00,3.00,2.00,2.00,0.00,1.00,0.00,0.00,3.00,1.00,2.00,1.00,1.00,0.00,0.00,4.00,2.00,1.00,0.00,0.00,1.00,1.00,3.00,5.00,1.00,1.00,4.00,2.00,1.00,1.00,4.00,2.00,0.00,1.00,0.00,0.00,4.00,4.00,2.00,0.00,0.00,0.00,2.00,2.00,2.00
Large Deepdish Pizza,7.00,4.00,1.00,3.00,0.00,0.00,7.00,6.00,2.00,0.00,1.00,0.00,2.00,4.00,0.00,7.00,0.00,0.00,0.00,3.00,3.00,8.00,3.00,0.00,1.00,0.00,2.00,3.00,9.00,1.00,3.00,1.00,0.00,1.00,5.00,5.00,2.00,0.00,2.00,2.00,0.00,6.00,8.00,3.00,0.00,3.00,0.00,0.00,4.00,6.00,5.00,2.00,0.00,0.00,0.00,0.00,6.00,3.00,3.00,2.00,6.00,0.00,6.00,5.00,4.00,0.00,0.00,2.00,2.00,4.00,4.00,4.00,2.00,3.00,3.00,2.00,2.00,4.00,5.00,0.00,1.00,4.00,4.00,5.00,3.00,2.00,0.00,0.00,1.00,1.00,7.00,10.00,4.00,0.00,3.00,0.00,0.00,9.00,5.00,2.00,2.00,4.00,2.00,4.00,5.00,8.00,4.00,1.00,0.00,0.00,3.00,14.00,17.00,4.00,5.00,2.00,11.00,7.00,19.00,14.00
Large Garlic Bread,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Large Garlic Bread with Cheese,4.00,1.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,0.00,2.00,0.00,1.00,6.00,0.00,4.00,0.00,0.00,0.00,3.00,1.00,4.00,1.00,0.00,0.00,0.00,3.00,1.00,2.00,3.00,1.00,0.00,1.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,0.00,5.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,4.00,0.00,3.00,3.00,0.00,0.00,1.00,4.00,0.00,1.00,3.00,1.00,0.00,0.00,2.00,1.00,1.00,2.00,3.00,0.00,0.00,1.00,0.00,2.00,4.00,2.00,0.00,2.00,3.00,2.00,2.00,2.00,0.00,0.00,0.00,1.00,1.00,7.00,6.00,1.00,0.00,0.00,1.00,0.00,2.00,4.00,2.00,0.00,1.00,6.00,1.00,1.00,3.00,0.00,2.00,0.00,2.00,0.00,3.00,4.00
Large Pizza,14.00,4.00,3.00,1.00,5.00,0.00,16.00,14.00,4.00,2.00,2.00,0.00,13.00,16.00,0.00,12.00,0.00,4.00,0.00,6.00,12.00,8.00,6.00,0.00,3.00,4.00,3.00,11.00,10.00,8.00,0.00,3.00,4.00,3.00,18.00,6.00,4.00,0.00,2.00,7.00,7.00,13.00,10.00,5.00,0.00,3.00,0.00,0.00,29.00,4.00,4.00,3.00,0.00,0.00,0.00,0.00,16.00,5.00,2.00,3.00,12.00,0.00,9.00,10.00,5.00,5.00,2.00,2.00,3.00,12.00,4.00,4.00,1.00,3.00,4.00,4.00,7.00,5.00,11.00,0.00,3.00,2.00,5.00,9.00,7.00,4.00,2.00,2.00,8.00,2.00,16.00,7.00,6.00,0.00,3.00,2.00,3.00,15.00,12.00,7.00,0.00,5.00,3.00,2.00,14.00,10.00,6.00,4.00,4.00,4.00,3.00,12.00,7.00,4.00,2.00,1.00,8.00,5.00,4.00,9.00
Medium Deepdish,5.00,3.00,3.00,0.00,1.00,0.00,7.00,4.00,0.00,1.00,2.00,0.00,6.00,4.00,0.00,3.00,0.00,1.00,0.00,3.00,6.00,3.00,1.00,0.00,3.00,2.00,2.00,0.00,3.00,2.00,1.00,1.00,2.00,5.00,8.00,5.00,6.00,0.00,1.00,1.00,1.00,6.00,3.00,2.00,0.00,0.00,0.00,0.00,7.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,5.00,1.00,0.00,1.00,3.00,1.00,0.00,1.00,2.00,3.00,4.00,3.00,0.00,2.00,1.00,2.00,2.00,13.00,6.00,3.00,0.00,1.00,1.00,1.00,5.00,3.00,2.00,0.00,4.00,5.00,3.00,3.00,5.00,3.00,0.00,0.00,4.00,1.00,3.00,6.00,1.00,3.00,0.00,2.00,3.00,6.00,9.00,6.00,0.00,2.00,0.00,3.00,16.00,15.00,7.00,3.00,2.00,13.00,5.00,13.00,12.00
Medium Pizza,21.00,6.00,1.00,5.00,3.00,0.00,12.00,3.00,4.00,4.00,0.00,0.00,8.00,10.00,0.00,15.00,0.00,3.00,0.00,9.00,8.00,9.00,3.00,0.00,3.00,5.00,1.00,12.00,9.00,3.00,1.00,1.00,0.00,2.00,15.00,10.00,2.00,0.00,5.00,2.00,6.00,10.00,8.00,4.00,0.00,3.00,0.00,0.00,15.00,10.00,2.00,3.00,0.00,0.00,0.00,0.00,8.00,4.00,6.00,4.00,8.00,0.00,6.00,7.00,5.00,2.00,2.00,3.00,2.00,5.00,6.00,8.00,3.00,2.00,2.00,4.00,10.00,6.00,4.00,0.00,2.00,3.00,1.00,8.00,5.00,4.00,1.00,2.00,0.00,5.00,9.00,3.00,2.00,0.00,0.00,7.00,3.00,15.00,6.00,0.00,0.00,4.00,3.00,5.00,9.00,6.00,4.00,2.00,2.00,3.00,4.00,9.00,5.00,3.00,0.00,5.00,4.00,6.00,9.00,8.00
Personal Pizza,8.00,4.00,2.00,0.00,4.00,0.00,9.00,3.00,1.00,2.00,1.00,0.00,9.00,7.00,0.00,2.00,0.00,3.00,0.00,4.00,10.00,1.00,1.00,0.00,5.00,4.00,2.00,6.00,3.00,4.00,3.00,0.00,7.00,4.00,15.00,5.00,3.00,0.00,0.00,2.00,4.00,11.00,6.00,1.00,0.00,1.00,0.00,0.00,26.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,10.00,3.00,1.00,2.00,0.00,0.00,2.00,2.00,3.00,2.00,3.00,1.00,4.00,6.00,5.00,1.00,0.00,0.00,1.00,4.00,5.00,2.00,3.00,0.00,3.00,5.00,1.00,7.00,5.00,2.00,2.00,2.00,9.00,1.00,8.00,3.00,1.00,0.00,1.00,1.00,4.00,14.00,5.00,6.00,3.00,0.00,6.00,2.00,4.00,5.00,0.00,1.00,2.00,3.00,9.00,8.00,5.00,13.00,1.00,2.00,2.00,5.00,6.00,7.00
Two Extra Large Pizza,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,2.00,1.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00
Two Large Pizza Deal,3.00,4.00,2.00,0.00,1.00,0.00,5.00,5.00,1.00,2.00,1.00,0.00,2.00,4.00,0.00,6.00,0.00,1.00,0.00,8.00,4.00,2.00,2.00,0.00,2.00,0.00,0.00,3.00,5.00,2.00,1.00,1.00,1.00,3.00,9.00,4.00,0.00,0.00,2.00,0.00,3.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,11.00,6.00,7.00,2.00,0.00,0.00,0.00,0.00,2.00,4.00,1.00,2.00,3.00,0.00,4.00,5.00,1.00,0.00,1.00,1.00,1.00,2.00,4.00,1.00,2.00,1.00,1.00,0.00,5.00,4.00,4.00,0.00,0.00,1.00,2.00,1.00,4.00,2.00,0.00,1.00,1.00,0.00,4.00,1.00,6.00,0.00,1.00,0.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,5.00,3.00,1.00,0.00,3.00,0.00,6.00,5.00,1.00,1.00,2.00,0.00,2.00,4.00,5.00
Two Med Pizza Deal,5.00,4.00,2.00,1.00,1.00,0.00,6.00,2.00,2.00,1.00,2.00,0.00,5.00,8.00,0.00,6.00,0.00,1.00,0.00,7.00,7.00,10.00,2.00,0.00,4.00,0.00,1.00,6.00,6.00,3.00,1.00,1.00,0.00,4.00,6.00,5.00,3.00,0.00,1.00,0.00,2.00,7.00,3.00,3.00,0.00,1.00,0.00,0.00,12.00,10.00,7.00,1.00,0.00,0.00,0.00,0.00,8.00,6.00,2.00,3.00,8.00,0.00,8.00,3.00,0.00,5.00,3.00,3.00,1.00,7.00,6.00,3.00,0.00,2.00,1.00,4.00,2.00,5.00,2.00,0.00,1.00,1.00,5.00,11.00,7.00,1.00,2.00,2.00,1.00,1.00,5.00,2.00,5.00,0.00,1.00,1.00,5.00,11.00,5.00,1.00,0.00,1.00,0.00,4.00,6.00,6.00,3.00,2.00,0.00,1.00,2.00,3.00,6.00,2.00,0.00,1.00,0.00,1.00,11.00,7.00
